,Tournament,Tournament_ID
232,Brisbane International,4
233,Brisbane International,4
234,Brisbane International,4
235,Brisbane International,4
236,Brisbane International,4
237,Brisbane International,4
238,Brisbane International,4
239,Brisbane International,4
240,Brisbane International,4
241,Brisbane International,4
242,Brisbane International,4
243,Brisbane International,4
244,Brisbane International,4
245,Brisbane International,4
246,Brisbane International,4
247,Brisbane International,4
248,Brisbane International,4
249,Brisbane International,4
250,Brisbane International,4
251,Brisbane International,4
252,Brisbane International,4
253,Brisbane International,4
254,Brisbane International,4
255,Brisbane International,4
256,Brisbane International,4
257,Brisbane International,4
258,Brisbane International,4
259,Brisbane International,4
260,Brisbane International,4
261,Brisbane International,4
262,Brisbane International,4
263,Brisbane International,4
264,Brisbane International,4
265,Brisbane International,4
266,Brisbane International,4
267,Brisbane International,4
268,Brisbane International,4
269,Brisbane International,4
270,Brisbane International,4
271,Brisbane International,4
272,Brisbane International,4
273,Brisbane International,4
274,Brisbane International,4
275,Brisbane International,4
276,Brisbane International,4
277,Brisbane International,4
278,Brisbane International,4
279,Brisbane International,4
280,Brisbane International,4
281,Brisbane International,4
282,Brisbane International,4
283,Brisbane International,4
284,Brisbane International,4
285,Brisbane International,4
286,Brisbane International,4
287,Brisbane International,4
288,Brisbane International,4
289,Brisbane International,4
290,Brisbane International,4
291,Brisbane International,4
292,Brisbane International,4
293,Brisbane International,4
294,Brisbane International,4
295,Brisbane International,4
296,Brisbane International,4
297,Brisbane International,4
298,Brisbane International,4
299,Brisbane International,4
300,Brisbane International,4
301,Brisbane International,4
302,Brisbane International,4
303,Brisbane International,4
304,Brisbane International,4
305,Brisbane International,4
306,Brisbane International,4
307,Brisbane International,4
308,Brisbane International,4
309,Brisbane International,4
310,Brisbane International,4
311,Brisbane International,4
312,Brisbane International,4
313,Brisbane International,4
314,Brisbane International,4
315,Brisbane International,4
316,Brisbane International,4
317,Brisbane International,4
318,Brisbane International,4
319,Brisbane International,4
320,Brisbane International,4
321,Brisbane International,4
322,Brisbane International,4
323,Brisbane International,4
324,Brisbane International,4
325,Brisbane International,4
326,Brisbane International,4
327,Brisbane International,4
328,Brisbane International,4
329,Brisbane International,4
330,Brisbane International,4
331,Brisbane International,4
332,Brisbane International,4
333,Brisbane International,4
334,Brisbane International,4
335,Brisbane International,4
336,Brisbane International,4
337,Brisbane International,4
338,Brisbane International,4
339,Brisbane International,4
340,Brisbane International,4
341,Brisbane International,4
342,Brisbane International,4
343,Brisbane International,4
344,Brisbane International,4
345,Brisbane International,4
346,Brisbane International,4
347,Brisbane International,4
348,Brisbane International,4
349,Brisbane International,4
350,Brisbane International,4
351,Brisbane International,4
352,Brisbane International,4
353,Brisbane International,4
354,Brisbane International,4
355,Brisbane International,4
356,Brisbane International,4
357,Brisbane International,4
358,Brisbane International,4
359,Brisbane International,4
360,Brisbane International,4
361,Brisbane International,4
362,Brisbane International,4
363,Brisbane International,4
364,Brisbane International,4
365,Brisbane International,4
366,Brisbane International,4
367,Brisbane International,4
368,Brisbane International,4
369,Brisbane International,4
370,Brisbane International,4
371,Brisbane International,4
372,Brisbane International,4
373,Brisbane International,4
374,Brisbane International,4
375,Brisbane International,4
376,Brisbane International,4
377,Brisbane International,4
378,Brisbane International,4
379,Brisbane International,4
380,Brisbane International,4
381,Brisbane International,4
382,Brisbane International,4
383,Brisbane International,4
384,Brisbane International,4
385,Brisbane International,4
386,Brisbane International,4
387,Brisbane International,4
388,Brisbane International,4
389,Brisbane International,4
390,Brisbane International,4
391,Brisbane International,4
392,Brisbane International,4
393,Brisbane International,4
394,Brisbane International,4
395,Brisbane International,4
396,Brisbane International,4
397,Brisbane International,4
398,Brisbane International,4
399,Brisbane International,4
400,Brisbane International,4
